matchweek,session_id,session_type,player_id,position,played_match,duration_min,total_distance_m,high_speed_running_m,sleep_hours,prev_load,rpe_load
1,MC01_01_TR01,Gym,P01,GK,0,61,1978.0,127.0,7.26,353.0,183
1,MC01_01_TR01,Gym,P02,DEF,0,81,1513.0,148.0,7.76,383.0,243
1,MC01_01_TR01,Gym,P03,DEF,0,80,2053.0,146.0,5.41,377.0,320
1,MC01_01_TR01,Gym,P04,DEF,0,56,1778.0,45.0,6.39,208.0,168
1,MC01_01_TR01,Gym,P05,DEF,0,58,3210.0,105.0,8.14,259.0,116
1,MC01_01_TR01,Gym,P06,MID,0,73,2606.0,16.0,7.23,290.0,219
1,MC01_01_TR01,Gym,P07,FWD,0,72,2193.0,81.0,6.67,299.0,288
1,MC01_01_TR01,Gym,P08,MID,0,86,3206.0,6.0,6.91,163.0,172
1,MC01_01_TR01,Gym,P09,FWD,0,62,3335.0,55.0,7.59,313.0,186
1,MC01_01_TR01,Gym,P10,MID,0,71,3067.0,186.0,6.63,196.0,213
1,MC01_01_TR01,Gym,P11,FWD,0,76,2141.0,31.0,7.52,373.0,152
1,MC01_01_TR01,Gym,P12,DEF,0,80,2943.0,130.0,6.6,354.0,240
1,MC01_01_TR01,Gym,P13,GK,0,70,3375.0,27.0,7.0,426.0,210
1,MC01_01_TR01,Gym,P14,MID,0,61,2261.0,43.0,7.75,373.0,183
1,MC01_01_TR01,Gym,P15,MID,0,65,3418.0,16.0,5.21,259.0,195
1,MC01_01_TR01,Gym,P16,FWD,0,67,3316.0,438.5,5.88,440.0,268
1,MC01_01_TR01,Gym,P17,FWD,0,77,2026.0,145.0,8.49,273.0,231
1,MC01_01_TR01,Gym,P18,DEF,0,78,2043.0,13.0,6.05,247.0,234
1,MC01_01_TR01,Gym,P19,MID,0,58,2907.0,37.0,7.91,421.0,174
1,MC01_01_TR01,Gym,P20,DEF,0,72,1852.0,86.0,7.33,261.0,216
1,MC01_01_TR01,Gym,P21,MID,0,82,2826.0,438.5,6.53,172.0,246
1,MC01_01_TR01,Gym,P22,FWD,0,58,2798.0,117.0,8.82,290.0,116
1,MC01_01_TR01,Gym,P23,DEF,0,58,1858.0,92.0,7.25,388.0,174
1,MC01_02_TR02,Field,P01,GK,0,100,6102.0,633.0,7.37,183.0,300
1,MC01_02_TR02,Field,P02,DEF,0,96,10201.0,1090.0,5.89,243.0,384
1,MC01_02_TR02,Field,P03,DEF,0,85,5730.0,607.0,7.51,320.0,170
1,MC01_02_TR02,Field,P05,DEF,0,91,9961.0,617.0,9.5,116.0,91
1,MC01_02_TR02,Field,P06,MID,0,96,10035.0,810.0,7.23,219.0,384
1,MC01_02_TR02,Field,P07,FWD,0,85,5723.0,846.0,6.18,288.0,340
1,MC01_02_TR02,Field,P08,MID,0,105,7022.0,1060.0,6.82,172.0,315
1,MC01_02_TR02,Field,P09,FWD,0,78,6925.0,711.0,6.44,186.0,390
1,MC01_02_TR02,Field,P10,MID,0,98,7107.0,557.0,7.09,213.0,294
1,MC01_02_TR02,Field,P11,FWD,0,83,5797.0,596.0,5.71,152.0,498
1,MC01_02_TR02,Field,P12,DEF,0,95,7752.0,1346.0,6.01,240.0,380
1,MC01_02_TR02,Field,P13,GK,0,98,6970.0,1136.0,7.97,210.0,294
1,MC01_02_TR02,Field,P14,MID,0,93,6460.0,622.0,6.26,183.0,372
1,MC01_02_TR02,Field,P16,FWD,0,107,6657.0,1442.0,7.05,268.0,428
1,MC01_02_TR02,Field,P17,FWD,0,75,9195.0,815.0,8.36,231.0,300
1,MC01_02_TR02,Field,P18,DEF,0,98,9031.0,1277.0,7.39,234.0,392
1,MC01_02_TR02,Field,P20,DEF,0,78,9077.0,638.0,6.74,216.0,390
1,MC01_02_TR02,Field,P21,MID,0,85,7060.0,1560.0,5.69,246.0,425
1,MC01_02_TR02,Field,P22,FWD,0,103,7630.0,598.0,7.06,116.0,412
1,MC01_02_TR02,Field,P23,DEF,0,85,6233.0,457.0,8.54,174.0,85
1,MC01_03_TR03,Gym,P01,GK,0,76,3355.0,130.0,6.66,300.0,152
1,MC01_03_TR03,Gym,P02,DEF,0,82,3107.0,3.0,5.6,384.0,246
1,MC01_03_TR03,Gym,P03,DEF,0,77,2367.0,22.0,6.81,170.0,231
1,MC01_03_TR03,Gym,P04,DEF,0,86,2101.0,23.0,6.47,168.0,258
1,MC01_03_TR03,Gym,P05,DEF,0,71,2541.0,52.0,8.48,91.0,71
1,MC01_03_TR03,Gym,P06,MID,0,73,2610.0,27.0,6.34,384.0,146
1,MC01_03_TR03,Gym,P07,FWD,0,75,2997.0,77.0,6.69,340.0,375
1,MC01_03_TR03,Gym,P08,MID,0,61,3365.0,438.5,8.77,315.0,61
1,MC01_03_TR03,Gym,P09,FWD,0,81,3193.0,2.0,5.95,390.0,324
1,MC01_03_TR03,Gym,P10,MID,0,63,3092.0,86.0,5.9,294.0,189
1,MC01_03_TR03,Gym,P11,FWD,0,62,3366.0,162.0,5.33,498.0,310
1,MC01_03_TR03,Gym,P12,DEF,0,58,2247.0,172.0,5.99,380.0,174
1,MC01_03_TR03,Gym,P13,GK,0,68,2047.0,85.0,4.77,294.0,340
1,MC01_03_TR03,Gym,P14,MID,0,86,2991.0,157.0,5.21,372.0,516
1,MC01_03_TR03,Gym,P15,MID,0,81,2450.0,111.0,5.68,195.0,324
1,MC01_03_TR03,Gym,P16,FWD,0,65,2120.0,172.0,8.4,428.0,195
1,MC01_03_TR03,Gym,P17,FWD,0,60,1811.0,52.0,7.16,300.0,120
1,MC01_03_TR03,Gym,P18,DEF,0,72,1541.0,132.0,5.05,392.0,288
1,MC01_03_TR03,Gym,P19,MID,0,57,2357.0,110.0,6.38,174.0,228
1,MC01_03_TR03,Gym,P20,DEF,0,81,2135.0,183.0,6.75,390.0,243
1,MC01_03_TR03,Gym,P21,MID,0,71,2572.0,7.0,5.72,425.0,213
1,MC01_03_TR03,Gym,P22,FWD,0,76,2641.0,177.0,8.93,412.0,76
1,MC01_03_TR03,Gym,P23,DEF,0,68,1686.0,156.0,5.75,85.0,204
1,MC01_04_TR04,Field,P01,GK,0,100,6082.0,1378.0,7.21,152.0,400
1,MC01_04_TR04,Field,P02,DEF,0,95,6396.0,1137.0,5.24,246.0,475
1,MC01_04_TR04,Field,P03,DEF,0,97,9227.0,1268.0,6.64,231.0,388
1,MC01_04_TR04,Field,P04,DEF,0,80,10096.0,1401.0,6.94,258.0,240
1,MC01_04_TR04,Field,P05,DEF,0,100,8582.0,717.0,6.71,71.0,400
1,MC01_04_TR04,Field,P06,MID,0,83,6387.0,906.0,4.67,146.0,498
1,MC01_04_TR04,Field,P07,FWD,0,83,6586.0,1076.0,4.62,375.0,415
1,MC01_04_TR04,Field,P08,MID,0,86,6713.0,771.0,5.63,61.0,430
1,MC01_04_TR04,Field,P09,FWD,0,95,7063.0,1107.0,7.05,324.0,380
1,MC01_04_TR04,Field,P10,MID,0,86,7887.0,1171.0,8.54,189.0,258
1,MC01_04_TR04,Field,P11,FWD,0,91,7695.0,440.0,6.05,310.0,455
1,MC01_04_TR04,Field,P12,DEF,0,85,8387.0,438.5,5.26,174.0,425
1,MC01_04_TR04,Field,P13,GK,0,88,5456.0,965.0,7.73,340.0,264
1,MC01_04_TR04,Field,P14,MID,0,90,8073.0,502.0,4.5,516.0,360
1,MC01_04_TR04,Field,P15,MID,0,90,8370.0,937.0,6.1,324.0,360
1,MC01_04_TR04,Field,P16,FWD,0,92,5436.0,613.0,5.36,195.0,276
1,MC01_04_TR04,Field,P17,FWD,0,93,8473.0,625.0,5.95,120.0,465
1,MC01_04_TR04,Field,P18,DEF,0,72,7042.0,816.0,7.09,288.0,288
1,MC01_04_TR04,Field,P19,MID,0,108,9321.0,1018.0,6.38,228.0,324
1,MC01_04_TR04,Field,P20,DEF,0,82,8578.0,485.0,5.83,243.0,246
1,MC01_04_TR04,Field,P21,MID,0,82,7800.0,1067.0,8.1,213.0,246
1,MC01_04_TR04,Field,P22,FWD,0,90,9002.0,812.0,7.63,76.0,270
1,MC01_04_TR04,Field,P23,DEF,0,98,6875.0,1331.0,7.03,204.0,392
1,MC01_05_TR05,Field,P01,GK,0,78,9063.0,512.0,6.11,400.0,390
1,MC01_05_TR05,Field,P02,DEF,0,81,5917.0,435.0,4.85,475.0,324
1,MC01_05_TR05,Field,P03,DEF,0,90,6562.0,1117.0,6.38,388.0,450
1,MC01_05_TR05,Field,P04,DEF,0,98,10187.0,442.0,6.63,240.0,392
1,MC01_05_TR05,Field,P05,DEF,0,101,6877.0,1393.0,7.13,400.0,404
1,MC01_05_TR05,Field,P06,MID,0,73,6676.0,354.0,4.5,498.0,365
1,MC01_05_TR05,Field,P07,FWD,0,80,7172.0,1023.0,7.44,415.0,160
1,MC01_05_TR05,Field,P08,MID,0,77,6903.0,382.0,4.54,430.0,385
1,MC01_05_TR05,Field,P09,FWD,0,68,6516.0,420.0,6.42,380.0,136
1,MC01_05_TR05,Field,P10,MID,0,90,6243.0,1115.0,6.46,258.0,360
1,MC01_05_TR05,Field,P11,FWD,0,84,6805.0,403.0,6.13,455.0,336
1,MC01_05_TR05,Field,P12,DEF,0,66,5390.0,709.0,6.72,425.0,198
1,MC01_05_TR05,Field,P13,GK,0,72,5121.0,1241.0,7.19,264.0,288
1,MC01_05_TR05,Field,P14,MID,0,60,4520.0,459.0,5.73,360.0,120
1,MC01_05_TR05,Field,P15,MID,0,68,9070.0,599.0,4.98,360.0,204
1,MC01_05_TR05,Field,P16,FWD,0,90,8395.0,1297.0,5.5,276.0,450
1,MC01_05_TR05,Field,P17,FWD,0,97,8474.0,1173.0,7.38,465.0,388
1,MC01_05_TR05,Field,P18,DEF,0,76,6830.0,399.0,7.7,288.0,152
1,MC01_05_TR05,Field,P19,MID,0,106,5870.0,653.0,4.9,324.0,424
1,MC01_05_TR05,Field,P20,DEF,0,83,9141.0,1088.0,7.19,246.0,332
1,MC01_05_TR05,Field,P21,MID,0,87,5080.0,412.0,5.14,246.0,348
1,MC01_05_TR05,Field,P22,FWD,0,81,5782.0,726.0,4.5,270.0,324
1,MC01_05_TR05,Field,P23,DEF,0,69,7525.0,809.0,5.23,392.0,345
1,MC01_06_TR06,Gym,P01,GK,0,65,2114.0,61.0,6.38,390.0,260
1,MC01_06_TR06,Gym,P02,DEF,0,48,1868.0,80.0,5.49,324.0,192
1,MC01_06_TR06,Gym,P03,DEF,0,56,2704.0,21.0,5.52,450.0,168
1,MC01_06_TR06,Gym,P04,DEF,0,54,2993.0,74.0,6.65,392.0,216
1,MC01_06_TR06,Gym,P05,DEF,0,76,1849.0,14.0,6.32,404.0,152
1,MC01_06_TR06,Gym,P06,MID,0,52,1840.0,88.0,6.26,365.0,156
1,MC01_06_TR06,Gym,P07,FWD,0,65,1548.0,132.0,5.1,160.0,130
1,MC01_06_TR06,Gym,P08,MID,0,58,1676.0,57.0,5.55,385.0,232
1,MC01_06_TR06,Gym,P09,FWD,0,46,2114.0,48.0,7.36,136.0,92
1,MC01_06_TR06,Gym,P10,MID,0,58,2138.0,90.0,5.79,360.0,174
1,MC01_06_TR06,Gym,P11,FWD,0,52,2077.0,27.0,5.43,336.0,156
1,MC01_06_TR06,Gym,P12,DEF,0,54,2737.0,71.0,8.97,198.0,108
1,MC01_06_TR06,Gym,P13,GK,0,48,2672.0,118.0,6.18,288.0,144
1,MC01_06_TR06,Gym,P14,MID,0,56,1592.0,43.0,5.2,120.0,112
1,MC01_06_TR06,Gym,P15,MID,0,73,2864.0,130.0,7.07,204.0,146
1,MC01_06_TR06,Gym,P16,FWD,0,45,1980.0,23.0,6.34,450.0,135
1,MC01_06_TR06,Gym,P17,FWD,0,66,1222.0,60.0,4.5,388.0,132
1,MC01_06_TR06,Gym,P18,DEF,0,64,2333.0,21.0,7.68,152.0,64
1,MC01_06_TR06,Gym,P19,MID,0,63,2005.0,79.0,4.53,424.0,315
1,MC01_06_TR06,Gym,P20,DEF,0,68,1878.0,438.5,6.51,332.0,204
1,MC01_06_TR06,Gym,P21,MID,0,62,1820.0,129.0,4.5,348.0,248
1,MC01_06_TR06,Gym,P22,FWD,0,68,2710.0,82.0,7.07,324.0,204
1,MC01_06_TR06,Gym,P23,DEF,0,61,2854.0,146.0,5.43,345.0,183
1,MC01_07_TR07,Field,P01,GK,0,88,7465.0,1163.0,4.91,260.0,352
1,MC01_07_TR07,Field,P02,DEF,0,84,5952.0,604.0,7.34,192.0,252
1,MC01_07_TR07,Field,P03,DEF,0,61,6273.0,723.0,6.19,168.0,183
1,MC01_07_TR07,Field,P04,DEF,0,66,7856.0,1121.0,5.16,216.0,198
1,MC01_07_TR07,Field,P05,DEF,0,60,5218.0,741.0,6.96,152.0,240
1,MC01_07_TR07,Field,P06,MID,0,60,4810.0,553.0,4.5,156.0,180
1,MC01_07_TR07,Field,P07,FWD,0,66,6556.0,875.0,6.21,130.0,198
1,MC01_07_TR07,Field,P08,MID,0,77,4714.0,939.0,5.79,232.0,308
1,MC01_07_TR07,Field,P09,FWD,0,69,7945.0,1040.0,6.83,92.0,276
1,MC01_07_TR07,Field,P10,MID,0,80,7652.0,639.0,6.4,174.0,240
1,MC01_07_TR07,Field,P11,FWD,0,74,4944.0,1044.0,4.96,156.0,222
1,MC01_07_TR07,Field,P12,DEF,0,60,5973.0,1170.0,5.1,108.0,240
1,MC01_07_TR07,Field,P13,GK,0,86,4530.0,612.0,5.21,144.0,344
1,MC01_07_TR07,Field,P14,MID,0,77,7930.0,909.0,5.8,112.0,308
1,MC01_07_TR07,Field,P15,MID,0,72,6596.0,333.0,4.67,146.0,288
1,MC01_07_TR07,Field,P16,FWD,0,74,6844.0,930.0,4.92,135.0,370
1,MC01_07_TR07,Field,P17,FWD,0,88,8142.0,969.0,7.36,132.0,264
1,MC01_07_TR07,Field,P18,DEF,0,68,8062.0,853.0,4.5,64.0,272
1,MC01_07_TR07,Field,P19,MID,0,82,6376.0,945.0,6.8,315.0,164
1,MC01_07_TR07,Field,P20,DEF,0,88,6920.0,679.0,5.04,204.0,264
1,MC01_07_TR07,Field,P21,MID,0,88,7538.0,946.0,6.14,248.0,176
1,MC01_07_TR07,Field,P22,FWD,0,74,7376.0,1140.0,4.71,204.0,370
1,MC01_07_TR07,Field,P23,DEF,0,73,5702.0,1152.0,6.41,183.0,292
