matchweek,session_id,session_type,player_id,position,played_match,duration_min,total_distance_m,high_speed_running_m,sleep_hours,prev_load,rpe_load
1,MC01_01_TR01,Gym,P01,GK,0,61,1978,127.0,7.26,353.0,183
1,MC01_01_TR01,Gym,P02,DEF,0,81,1513,148.0,7.76,383.0,243
1,MC01_01_TR01,Gym,P03,DEF,0,80,2053,146.0,5.41,377.0,320
1,MC01_01_TR01,Gym,P04,DEF,0,56,1778,45.0,6.39,208.0,168
1,MC01_01_TR01,Gym,P05,DEF,0,58,3210,105.0,8.14,259.0,116
1,MC01_01_TR01,Gym,P06,MID,0,73,2606,16.0,7.23,290.0,219
1,MC01_01_TR01,Gym,P07,FWD,0,72,2193,81.0,6.67,299.0,288
1,MC01_01_TR01,Gym,P08,MID,0,86,3206,6.0,6.91,163.0,172
1,MC01_01_TR01,Gym,P09,FWD,0,62,3335,55.0,7.59,313.0,186
1,MC01_01_TR01,Gym,P10,MID,0,71,3067,186.0,6.63,196.0,213
1,MC01_01_TR01,Gym,P11,FWD,0,76,2141,31.0,7.52,373.0,152
1,MC01_01_TR01,Gym,P12,DEF,0,80,2943,130.0,6.6,354.0,240
1,MC01_01_TR01,Gym,P13,GK,0,70,3375,27.0,7.0,426.0,210
1,MC01_01_TR01,Gym,P14,MID,0,61,2261,43.0,7.75,373.0,183
1,MC01_01_TR01,Gym,P15,MID,0,65,3418,16.0,5.21,259.0,195
1,MC01_01_TR01,Gym,P16,FWD,0,67,3316,,5.88,440.0,268
1,MC01_01_TR01,Gym,P17,FWD,0,77,2026,145.0,8.49,273.0,231
1,MC01_01_TR01,Gym,P18,DEF,0,78,2043,13.0,6.05,247.0,234
1,MC01_01_TR01,Gym,P19,MID,0,58,2907,37.0,7.91,421.0,174
1,MC01_01_TR01,Gym,P20,DEF,0,72,1852,86.0,7.33,261.0,216
1,MC01_01_TR01,Gym,P21,MID,0,82,2826,,6.53,172.0,246
1,MC01_01_TR01,Gym,P22,FWD,0,58,2798,117.0,8.82,290.0,116
1,MC01_01_TR01,Gym,P23,DEF,0,58,1858,92.0,7.25,388.0,174
1,MC01_02_TR02,Field,P01,GK,0,100,6102,633.0,7.37,183.0,300
